statement,timeBlock50,N,prop,totalN,time,timeLabel,level,block_center,block_date
"Yes, available","[-1.95e+03,-1.9e+03]",0,0,1,1,-1950,0,-1925,2009-11-22
"Yes, available","(-1.9e+03,-1.85e+03]",0,NaN,0,2,-1900,0,-1875,2010-01-11
"Yes, available","(-1.85e+03,-1.8e+03]",0,0,1,3,-1850,0,-1825,2010-03-02
"Yes, available","(-1.8e+03,-1.75e+03]",0,NaN,0,4,-1800,0,-1775,2010-04-21
"Yes, available","(-1.75e+03,-1.7e+03]",0,NaN,0,5,-1750,0,-1725,2010-06-10
"Yes, available","(-1.7e+03,-1.65e+03]",0,NaN,0,6,-1700,0,-1675,2010-07-30
"Yes, available","(-1.65e+03,-1.6e+03]",0,NaN,0,7,-1650,0,-1625,2010-09-18
"Yes, available","(-1.6e+03,-1.55e+03]",0,0,1,8,-1600,0,-1575,2010-11-07
"Yes, available","(-1.55e+03,-1.5e+03]",0,0,1,9,-1550,0,-1525,2010-12-27
"Yes, available","(-1.5e+03,-1.45e+03]",0,NaN,0,10,-1500,0,-1475,2011-02-15
"Yes, available","(-1.45e+03,-1.4e+03]",0,NaN,0,11,-1450,0,-1425,2011-04-06
"Yes, available","(-1.4e+03,-1.35e+03]",0,NaN,0,12,-1400,0,-1375,2011-05-26
"Yes, available","(-1.35e+03,-1.3e+03]",0,NaN,0,13,-1350,0,-1325,2011-07-15
"Yes, available","(-1.3e+03,-1.25e+03]",2,0.4,5,14,-1300,0,-1275,2011-09-03
"Yes, available","(-1.25e+03,-1.2e+03]",0,NaN,0,15,-1250,0,-1225,2011-10-23
"Yes, available","(-1.2e+03,-1.15e+03]",0,0,2,16,-1200,0,-1175,2011-12-12
"Yes, available","(-1.15e+03,-1.1e+03]",0,0,1,17,-1150,0,-1125,2012-01-31
"Yes, available","(-1.1e+03,-1.05e+03]",1,0.25,4,18,-1100,0,-1075,2012-03-21
"Yes, available","(-1.05e+03,-1e+03]",1,0.3333333333333333,3,19,-1050,0,-1025,2012-05-10
"Yes, available","(-1e+03,-950]",0,0,4,20,-1e3,0,-975,2012-06-29
"Yes, available","(-950,-900]",1,0.09090909090909091,11,21,-950,0,-925,2012-08-18
"Yes, available","(-900,-850]",0,0,5,22,-900,0,-875,2012-10-07
"Yes, available","(-850,-800]",1,0.2,5,23,-850,0,-825,2012-11-26
"Yes, available","(-800,-750]",2,0.2857142857142857,7,24,-800,0,-775,2013-01-15
"Yes, available","(-750,-700]",3,0.21428571428571427,14,25,-750,0,-725,2013-03-06
"Yes, available","(-700,-650]",5,0.22727272727272727,22,26,-700,0,-675,2013-04-25
"Yes, available","(-650,-600]",5,0.2,25,27,-650,0,-625,2013-06-14
"Yes, available","(-600,-550]",2,0.07142857142857142,28,28,-600,0,-575,2013-08-03
"Yes, available","(-550,-500]",6,0.25,24,29,-550,0,-525,2013-09-22
"Yes, available","(-500,-450]",6,0.2857142857142857,21,30,-500,0,-475,2013-11-11
"Yes, available","(-450,-400]",3,0.11538461538461539,26,31,-450,0,-425,2013-12-31
"Yes, available","(-400,-350]",3,0.14285714285714285,21,32,-400,0,-375,2014-02-19
"Yes, available","(-350,-300]",7,0.3181818181818182,22,33,-350,0,-325,2014-04-10
"Yes, available","(-300,-250]",8,0.2857142857142857,28,34,-300,0,-275,2014-05-30
"Yes, available","(-250,-200]",8,0.32,25,35,-250,0,-225,2014-07-19
"Yes, available","(-200,-150]",9,0.47368421052631576,19,36,-200,0,-175,2014-09-07
"Yes, available","(-150,-100]",11,0.4583333333333333,24,37,-150,0,-125,2014-10-27
"Yes, available","(-100,-50]",12,0.2857142857142857,42,38,-100,0,-75,2014-12-16
"Yes, available","(-50,0]",9,0.34615384615384615,26,39,-50,0,-25,2015-02-04
"Yes, available","(0,50]",15,0.5357142857142857,28,40,50,1,25,2015-03-26
"Yes, available","(50,100]",14,0.6666666666666666,21,41,100,1,75,2015-05-15
"Yes, available","(100,150]",18,0.72,25,42,150,1,125,2015-07-04
"Yes, available","(150,200]",23,0.8846153846153846,26,43,200,1,175,2015-08-23
"Yes, available","(200,250]",16,0.9411764705882353,17,44,250,1,225,2015-10-12
"Yes, available","(250,300]",18,0.8571428571428571,21,45,300,1,275,2015-12-01
"Yes, available","(300,350]",13,0.9285714285714286,14,46,350,1,325,2016-01-20
"Yes, available","(350,400]",5,0.8333333333333334,6,47,400,1,375,2016-03-10
"Yes, available","(400,450]",9,0.9,10,48,450,1,425,2016-04-29
"Yes, available","(450,500]",3,0.75,4,49,500,1,475,2016-06-18
"Yes, available","(500,550]",1,1,1,50,550,1,525,2016-08-07
